source,target,weight,type
Swizz Beatz,Snoop Dogg,3,undirected
Cam'Ron,Dave East,1,undirected
E-40,Tre Solid,1,undirected
White Dave,K.E.L.L.S.,1,undirected
Juvenile,Danny from Sobrante,1,undirected
Matisyahu,Kosha Dillz,1,undirected
Mozzy,June,5,undirected
Mistah F.A.B.,Kobe Honeycutt,1,undirected
Hoodie Allen,Ricky Smith,1,undirected
DJ Khaled,Future,4,undirected
Trae Tha Truth,Roscoe Dash,1,undirected
Dave East,DJ Drama,1,undirected
Solo Lucci,Young Thug,1,undirected
Mickey Shiloh,Kosha Dillz,1,undirected
B. Rossi,T.I.,1,undirected
Racket County,Hard Target,14,undirected
Fetty Wap,Kid Ink,1,undirected
Nicki Minaj,Future,1,undirected
Future,21 Savage,1,undirected
Jadakiss,DJ Khaled,1,undirected
Bernz,Ag Lyonz,1,undirected
Ghost Loft,Wiz Khalifa,1,undirected
Metro Boomin,21 Savage,9,undirected
Grieves,Dumbfoundead,1,undirected
Nas,Mobb Deep,1,undirected
Devin The Dude,B-Real,1,undirected
ScHoolboy Q,Jay Rock,2,undirected
Katz,Hopsin,1,undirected
Deacon Blues,Isaiah Rashad,1,undirected
Mitch E-Slick,AD,2,undirected
YFN Lucci,Meek Mill,1,undirected
Mista Cain,Starlito,1,undirected
Lil Wayne,Travis Scott,1,undirected
Boosie Badazz,Pimp C,1,undirected
Cutthroat Season,LA Gun Smoke,2,undirected
Cutthroat Season,King Lil G,2,undirected
B. Rossi,Killer Mike,1,undirected
S Dot Braddy,Pouya,1,undirected
Ty Dolla $ign,Nipsey Hussle,1,undirected
French Montana,Chinx,1,undirected
E-40,K CAMP,1,undirected
Chris Brown,A$AP Ferg,1,undirected
Sauce Twinz,Philthy Rich,1,undirected
Datin,Sean C. Johnson,1,undirected
Yung Gleesh,A$AP Mob,1,undirected
Gucci Mane,Young Dolph,1,undirected
Trev Case,T.I.,1,undirected
Big Scoob,Mackenzie Nicole,1,undirected
Rick Ross,Pusha T,1,undirected
Young Scooter,Young Thug,1,undirected
Duce,YG,1,undirected
Tory Lanez,Chris Brown,1,undirected
Ty Dolla $ign,Lil Durk,1,undirected
Slim Thug,Nikki Lactson,1,undirected
A$AP Rocky,Pusha T,1,undirected
Kari Faux,Deacon Blues,1,undirected
Karmin,Futuristic,1,undirected
Kehlani,G-Eazy,1,undirected
Project Pat,Tm88,1,undirected
Bobo Swae,Rae Sremmurd,2,undirected
Ty Dolla $ign,R. Kelly,1,undirected
Pharrell Williams,Casino,1,undirected
Paul Wall,Boogie Man,1,undirected
Bumps Inf,Datin,2,undirected
Dr. Dre,MC Ren,1,undirected
EMC Senatra,King Lil G,2,undirected
Rich Homie Quan,YG,1,undirected
Talley Of 300,Jalyn Sanders,2,undirected
Dame D.O.L.L.A,Raphael Saadiq,1,undirected
Sage The Gemini,Juicy J,1,undirected
Tech N9ne Collabos,Prozak,2,undirected
Macklemore & Ryan Lewis,Jamila Woods,1,undirected
Ty Dolla $ign,Meek Mill,2,undirected
Paul Wall,Big Scoob,1,undirected
Mak Digg,Square Bizzy,2,undirected
Marty Baller,Lil Uzi Vert,1,undirected
Original Broadway Cast of Hamilton,Christopher Jackson,7,undirected
Busta Rhymes,Kent Jones,1,undirected
KSI,Tiggs Da Author,1,undirected
Ab-Soul,Mac Miller,1,undirected
DJ Quick,Sevyn Streeter,1,undirected
JP Cali,Buddy,1,undirected
Rick Ross,Royce Da 5'9",1,undirected
Skeme,Chris Brown,1,undirected
Clif Soulo,Legendvry,1,undirected
Bruce Banna,June,1,undirected
Montana of 300,Shabba Wolf,1,undirected
Miguel,Queen Latifah,1,undirected
Quez,Berner,2,undirected
Mike Posner,Rittz,1,undirected
Daniel Lee,Charlie Farley,1,undirected
Wiz Khalifa,A$AP Rocky,1,undirected
Jamie Madrox,Lex the Hex Master,1,undirected
Pete Rock,BJ The Chicago Kid,1,undirected
Thundercat,Anna Wise,1,undirected
Isaiah Rashad,Jay Rock,1,undirected
John Givez,Jackie Hill Perry,1,undirected
Post Malone,Mac Miller,1,undirected
Big Scoob,Bakarii,2,undirected
Tech N9ne,Bakarii,1,undirected
Snoop Dogg,Kendrick Lamar,1,undirected
Tory Lanez,G-Eazy,1,undirected
Toro y Moi,Travis Scott,1,undirected
Big Scoob,Killer Mike,1,undirected
Bizzle,Alexis Spight,1,undirected
KJ,Kuzzn Bank,1,undirected
Arcangel,De La Ghetto,2,undirected
Propaganda,Lecrae,1,undirected
Talley Of 300,Savage,2,undirected
Kool Moe Dee,Eric Nally,1,undirected
Gunna,Travis Scott,1,undirected
Mick Jenkins,Ravyn Lenae,1,undirected
Hoodie Allen,Blackbear,2,undirected
Lil Wayne,Curren$y,1,undirected
Nef The Pharaoh,Ezale,1,undirected
Dream Junkies,John Givez,12,undirected
Machine Gun Kelly,Leroy Sanchez,1,undirected
Bricc Baby,AD,1,undirected
ScHoolboy Q,A$AP Ferg,1,undirected
The Game,Sevyn Streeter,2,undirected
Colt Ford,Charlie Farley,1,undirected
Rick Ross,Mary J. Blige,1,undirected
Beanie Sigel,Pusha T,1,undirected
Chance The Rapper,Francis and the Lights,1,undirected
J. Doe,Riff Raff,1,undirected
Yung Gleesh,Playboi Carti,1,undirected
Problem,Boogie,1,undirected
The Game,Stacy Barthe,2,undirected
Jadakiss,Ne-Yo,1,undirected
Krizz Kaliko,Stige,1,undirected
Kendrick Lamar,Zacari,1,undirected
Bryson Tiller,DJ Khaled,1,undirected
Bobby V.,Snoop Dogg,1,undirected
Fat Nick,Pouya,1,undirected
Kanye West,A$AP Rocky,2,undirected
La Coka Nostra,Rite Hook,3,undirected
Starlito,Young Dolph,1,undirected
Problem,Buddy,1,undirected
Rick Ross,Pete Rock,1,undirected
CZARFACE,Conway,1,undirected
Life+,King Lil G,1,undirected
Mistah F.A.B.,Erk Tha Jerk,1,undirected
Lin-Manuel Miranda,Christopher Jackson,8,undirected
Thundercat,George Clinton,1,undirected
Danny from Sobrante,Marsha Ambrosius,1,undirected
Bun B,Paul Wall,1,undirected
Cormega,Havoc,1,undirected
Audio Push,Rick Ross,1,undirected
S.O.S.,Datin,1,undirected
Shell,Lil Trill,1,undirected
Jasmine Cephas-Jones,Phillipa Soo,1,undirected
KJ,Mouton,1,undirected
Ali Shields,Jamesthemormon,1,undirected
Hoodie Allen,Kyle,1,undirected
Lil B,Mac Miller,1,undirected
Sebastian,Wiz Khalifa,1,undirected
DJ Khaled,Betty Wright,1,undirected
Jakk Frost,Vinnie Paz,2,undirected
Fetty Wap,Rich Homie Quan,1,undirected
Cuttyboy G Dinero,Yella,1,undirected
Desiigner,King Savage,1,undirected
Duce,Marley Blu,1,undirected
Young Scooter,Quavo,1,undirected
Boosie Badazz,Calliope Bub,3,undirected
A$AP Mob,BJ The Chicago Kid,1,undirected
Shasha,Dej Loaf,1,undirected
E-40,Nef The Pharaoh,4,undirected
Snoop Dogg,Anna Wise,1,undirected
Slim Thug,Adoni,1,undirected
A$AP Twelvyy,Key,1,undirected
The Alchemist,Method Man,1,undirected
E-40,B-Legit,3,undirected
N'Dambi,Lecrae,1,undirected
Dumbfoundead,Daveed Diggs,1,undirected
The Game,Snoop Dogg,2,undirected
O'Neill,Kendo,1,undirected
K CAMP,Wiz Khalifa,1,undirected
Webbie,Snoop Dogg,1,undirected
Alexio,Arcangel,2,undirected
Watsky,Daveed Diggs,1,undirected
Lady G,Tokyo Jetz,1,undirected
Smoke Dza,BJ The Chicago Kid,1,undirected
DJ Luian,Maluma,1,undirected
Mistah F.A.B.,2 Chainz,1,undirected
A$AP Rocky,A$AP Mob,7,undirected
TF,Traffic,1,undirected
Snow Tha Product,Residente,1,undirected
Juicy J,Wiz Khalifa,21,undirected
Bumpy Knuckles,Killer Mike,1,undirected
Choose Up Cheese,Stresmatic,1,undirected
Sione Toki,Jay Warren,1,undirected
Diddy,Styles P,3,undirected
The Game,DJ Quick,1,undirected
Rafael Casal,Wax,1,undirected
ESG,Lil Keke,1,undirected
Havoc,Prodigy,1,undirected
Krizz Kaliko,Stevie Stone,1,undirected
Selah the Corner,Dre Murray,1,undirected
Machine Gun Kelly,Victoria Monet,1,undirected
Travis Scott,Young Thug,4,undirected
Rihanna,Drake,1,undirected
Devin The Dude,MJG,1,undirected
Adam Vida,Daveed Diggs,1,undirected
Big Smo,Haden Carpenter,1,undirected
Vinnie Paz,A.G.,1,undirected
Mac Miller,Bilal,2,undirected
Future,2 Chainz,1,undirected
CES Cru,Tech N9ne,1,undirected
Devin The Dude,Mistah F.A.B.,1,undirected
Rae Sremmurd,Juicy J,2,undirected
Big Smo,Brandon Rogers,1,undirected
Nas,Wiz Khalifa,1,undirected
Paul Wall,Berner,1,undirected
Demun Jones,I4NI,1,undirected
Tech N9ne,Krizz Kaliko,5,undirected
Foxx,Webbie,1,undirected
Watsky,Wax,1,undirected
Wiz Khalifa,DJ Quik,1,undirected
DJ Khaled,Busta Rhymes,1,undirected
Chris Dave,Elzhi,1,undirected
Bun B,A$AP Rocky,1,undirected
DJ Khaled,Travis Scott,1,undirected
Sonyae,Future,2,undirected
Bebe Rexha,G-Eazy,1,undirected
1st FKI,Mac Miller,1,undirected
Yo Gotti,Jeezy,1,undirected
B Real,Maria Grazia,1,undirected
Brain,Lil Dicky,1,undirected
Nas,ScHoolboy Q,1,undirected
Future,Metro Boomin,1,undirected
Dave East,Young Life,1,undirected
Marty,NF,1,undirected
J. Cole,DJ Khaled,1,undirected
Jazzy,Joe Budden,1,undirected
Desiigner,Pusha T,1,undirected
NF,Jeremiah Carlson,1,undirected
Blaze Ya Dead Homie,The R.O.C.,1,undirected
Jadakiss,Tish Hyman,1,undirected
Grieves,Chinaka Hodge,1,undirected
John Legend,James Fauntleroy,1,undirected
Ty Dolla $ign,YG,4,undirected
Ty Dolla $ign,DJ Mustard,3,undirected
Fabolous,Kent Jones,1,undirected
Pusha T,Styles P,1,undirected
KB,Da' T.R.U.T.H.,1,undirected
ScHoolboy Q,Anderson .Paak,1,undirected
The Game,Lil E,2,undirected
Adam Vida,Chinaka Hodge,1,undirected
Social Club Misfits,Tree Giants,1,undirected
Ice Cube,Dr. Dre,1,undirected
Dre Murray,Beleaf,1,undirected
Nicki Minaj,DJ Khaled,1,undirected
Wankaego,Lundon,1,undirected
Mozzy,Kid Red,1,undirected
Eazy-E,MC Ren,1,undirected
Nas,will.i.am,2,undirected
Flo Rida,Sage The Gemini,2,undirected
Nef The Pharaoh,Mistah F.A.B.,1,undirected
Ella Mai,DJ Mustard,1,undirected
Rick Ross,Meek Mill,1,undirected
Grieves,Rafael Casal,1,undirected
Nef The Pharaoh,D.R.A.M.,1,undirected
Wale,Meghan Trainor,1,undirected
Trouble,Young Thug,1,undirected
Talley Of 300,Montana of 300,6,undirected
Watsky,Mal Devisa,1,undirected
E-40,D.R.A.M.,1,undirected
Ras Kass,Vinnie Paz,1,undirected
Diddy,Travis Scott,1,undirected
Mos Def,Acyde,1,undirected
EMC Senatra,Young Drummer Boy,2,undirected
Raekwon,G-Eazy,1,undirected
The-Dream,Pusha T,2,undirected
Lucy Rose,Logic,1,undirected
Devin The Dude,Too $hort,1,undirected
Johnny Cinco,HoodRich Pablo Juan,1,undirected
Jadakiss,Diddy,3,undirected
Apollo Brown,Patty Crash,1,undirected
Billy Danze,Chris Rivers,1,undirected
E-40,Mvrcus Blvck,2,undirected
Apathy,Celph Titled,1,undirected
Skepta,BBK,1,undirected
Leon Bridges,Macklemore & Ryan Lewis,1,undirected
will.i.am,Snoop Dogg,2,undirected
Kamaiyah,Drake,1,undirected
Smoke Dza,Mac Miller,1,undirected
Mick Jenkins,theMIND,3,undirected
Gracy,Dream Junkies,1,undirected
C-Murder,Calliope Bub,3,undirected
Bad Lucc,DJ Quik,1,undirected
A.Genius,Square Bizzy,1,undirected
Meek Mill,Drake,1,undirected
Bernz,Wrekonize,2,undirected
Lil Wayne,Dame D.O.L.L.A,1,undirected
Thundercat,Bilal,1,undirected
Ty Dolla $ign,24hrs,1,undirected
Sho Baraka,Jackie Hill Perry,1,undirected
Turf Talk,Husalah,1,undirected
MeetSims,Chrisette Michele,1,undirected
DJ Khaled,Meghan Trainor,1,undirected
Yung Lord,A$AP Mob,1,undirected
Jesse Boykins III,Logic,1,undirected
Bubba Sparxxx,Redneck Souljers,1,undirected
Cau2g$,Chinx,1,undirected
Isaiah Rashad,Zacari,1,undirected
Fetty Wap,Homie Quan,1,undirected
Ty Dolla $ign,Jagged Edge,1,undirected
Murs,Ubiquitous,1,undirected
Anthony Ramos,Lin-Manuel Miranda,11,undirected
DJ Khaled,Wiz Khalifa,1,undirected
Scarface,Stacy Barthe,2,undirected
Casey Veggies,K CAMP,1,undirected
The Game,Q-Tip,2,undirected
Miguel,Mark Ronson,1,undirected
Riff Raff,Dolla Bill Gates,1,undirected
Mozzy,The Jacka,1,undirected
Justine Skye,ScHoolboy Q,1,undirected
Brandy,James Fauntleroy,1,undirected
Bizzle,Bumps Inf,2,undirected
Diddy,Zoey Dollaz,1,undirected
Key,A$AP Rocky,1,undirected
King Chip,Domo Genesis,1,undirected
Dame D.O.L.L.A,Brookfield Duece,2,undirected
Anderson .Paak,Idris Elba,1,undirected
Bloody Jay,YFN Lucci,1,undirected
Royce Da 5'9",Loren W. Oden,1,undirected
MO3,Mr. Lucci,1,undirected
Vakero,DJ Luian,1,undirected
Dave East,2 Chainz,1,undirected
Too $hort,Mistah F.A.B.,2,undirected
Mitch E-Slick,RJ,2,undirected
A$AP Rocky,Pimp C,1,undirected
Carlene Crawford,Beleaf,1,undirected
Chuck D,A$AP Ferg,1,undirected
Mista Cain,Young Dolph,1,undirected
Future,Lil Uzi Vert,1,undirected
Fat Joe,Kent Jones,1,undirected
E-40,Lil B,1,undirected
Arcangel,Farruko,2,undirected
Cardi B,Breakfast Club,1,undirected
Tokyo Jetz,T.I.,1,undirected
B Real,Apathy,1,undirected
Young Thug,21 Savage,1,undirected
D.R.A.M.,Lil Yachty,1,undirected
Royce Da 5'9",Pete Rock,1,undirected
French Montana,Wiz Khalifa,1,undirected
Kool Keith,Doom,1,undirected
Vince Staples,Jhene Aiko,1,undirected
Nas,Pimp C,1,undirected
PJ,Sa-Ra,1,undirected
JT,The Game,2,undirected
A$AP Twelvyy,A$AP Ferg,1,undirected
Mick Jenkins,Michael Anthony,1,undirected
Bones,A$AP Rocky,1,undirected
Too $hort,G-Eazy,1,undirected
Ja Rule,Ashanti,1,undirected
Gizzle,G-Eazy,1,undirected
August Alsina,DJ Khaled,1,undirected
Duke,Young Thug,3,undirected
DJ Luian,Cosculluela,1,undirected
Project Pat,Young Dolph,1,undirected
Jadakiss,Styles P,4,undirected
Ty Dolla $ign,August Alsina,1,undirected
Jeremih,Rick Ross,1,undirected
Okieriete Onaodowan,Christopher Jackson,3,undirected
Don Chief,Fred B,1,undirected
Z-Ro,Krayzie Bone,1,undirected
The-Dream,T.I.,1,undirected
Rick Ross,Future,3,undirected
King Mez,Jon Conner,2,undirected
Madeintyo,Offset,1,undirected
Joe Moses,Jay 305,4,undirected
Youngs Teflon,Sway,1,undirected
David Goldblatt,De La Soul,1,undirected
Mozzy,Rich Homie Quan,1,undirected
Mista Cain,Pymp,1,undirected
Gucci Mane,Young Thug,2,undirected
The Game,Jelly Roll,4,undirected
Dizzy Wright,Berner,1,undirected
Berner,Snoop Dogg,1,undirected
YFN Lucci,Bigga Rankin,2,undirected
Lady G,T.I.,1,undirected
Scrufizzer,Youngs Teflon,1,undirected
Ty Dolla $ign,Curren$y,1,undirected
Ed Sheeran,Macklemore & Ryan Lewis,1,undirected
The Game,Dej Loaf,2,undirected
E-40,Lil E,2,undirected
CES Cru,Tech N9ne Collabos,3,undirected
Rich Homie Quan,Homie Quan,1,undirected
Dame D.O.L.L.A,Manny Lotus,1,undirected
Onyx,A$AP Mob,1,undirected
E-40,Choose Up Cheese,1,undirected
E-40,K.D. Stunts,1,undirected
Macklemore & Ryan Lewis,Idris Elba,1,undirected
Strange Figures,Dj Tank,1,undirected
ScHoolboy Q,Wiz Khalifa,1,undirected
Lundon,Webbie,1,undirected
E-40,Kent Jones,1,undirected
A$AP Twelvyy,A$AP Mob,2,undirected
No Fatigue,J-Real,2,undirected
Beleaf,John Givez,12,undirected
Swae Lee,Travis Scott,1,undirected
Renee Elise Goldsberry,Christopher Jackson,1,undirected
Moses Sumney,Tessa Thompson,1,undirected
Grandmaster Melle Mel,Eric Nally,1,undirected
Wale,YG,1,undirected
Lin-Manuel Miranda,Leslie Odom Jr.,17,undirected
Mistah F.A.B.,Currensy Spitta,1,undirected
Mitch E-Slick,The Game,2,undirected
Nicki Minaj,Lil Uzi Vert,1,undirected
B Real,Sick Jacken,1,undirected
Rara,T.I.,2,undirected
Kendrick Lamar,James Fauntleroy,2,undirected
E-40,June Onna Beat,1,undirected
Snoop Dogg,Trick Trick,1,undirected
Don Q,Meek Mill,1,undirected
PARTYNEXTDOOR,Drake,3,undirected
A$AP Twelvyy,A$AP Rocky,1,undirected
Boondox,Twiztid,1,undirected
Ty Dolla $ign,Devin The Dude,1,undirected
Carl Thomas,Mistah F.A.B.,1,undirected
Playboi Carti,A$AP Rocky,2,undirected
Okieriete Onaodowan,Leslie Odom Jr.,9,undirected
LightShow,21 Savage,1,undirected
Selah the Corner,Bumps Inf,1,undirected
Don Trip,Starlito,1,undirected
ESG,Adoni,1,undirected
Jadakiss,Kent Jones,1,undirected
Big Smo,Michael Ray,1,undirected
Savage,Montana of 300,2,undirected
Lex Aura,June,1,undirected
Rittz,Prozak,1,undirected
MO3,Boosie Badazz,1,undirected
Genio,Pusho,1,undirected
Yo Gotti,Timbaland,1,undirected
Spit Gemz,Apathy,1,undirected
Sydney James Harcourt,Leslie Odom Jr.,1,undirected
D-Day,E-40,1,undirected
August Alsina,Lil Wayne,1,undirected
Berner,B-Legit,1,undirected
Adam Vida,Watsky,1,undirected
Hitman Beatz,RJ,1,undirected
G Mo Skee,Twiztid,1,undirected
Lil Yachty,A$AP Rocky,1,undirected
Big K.R.I.T.,Dom Kennedy,1,undirected
Skepta,D Double E,1,undirected
Arcangel,DJ Luian,18,undirected
Common,Ingrid Michaelson,1,undirected
Vanessa Hill,Sho Baraka,1,undirected
French Montana,J Balvin,1,undirected
M.I.A.,Dexta Daps,1,undirected
Yo Gotti,Pusha T,1,undirected
Marty Baller,A$AP Ferg,1,undirected
Ty Dolla $ign,E-40,1,undirected
Big K.R.I.T.,Pete Rock,1,undirected
Jeremih,DJ Khaled,1,undirected
The Lacs,J Rosevelt,1,undirected
Riz MC,Residente,1,undirected
Dizzy Wright,Easy Redd,1,undirected
Lil Wayne,Jeezy,1,undirected
Jaymes Young,Skizzy Mars,1,undirected
Colt Ford,Daniel Lee,1,undirected
The Mighty Agnot,Jamesthemormon,1,undirected
J Alvarez,DJ Luian,1,undirected
Selah the Corner,Sevin,1,undirected
Tech N9ne Collabos,Murs,1,undirected
Christon Gray,Da' T.R.U.T.H.,1,undirected
2 Chainz,Young Dolph,1,undirected
Earl Sweatshirt,Danny Brown,1,undirected
Domo Genesis,Tay Walker,1,undirected
Mozzy,E-40,1,undirected
Sho Baraka,James Portier,2,undirected
Fat Joe,Busta Rhymes,1,undirected
Tech N9ne,Mackenzie Nicole,1,undirected
D.R.A.M.,Erykah Badu,1,undirected
I4NI,J Rosevelt,1,undirected
Rittz,Krizz Kaliko,4,undirected
Slim 400,YG,2,undirected
Crystal Caines,A$AP Ferg,1,undirected
MPA Turk,Peewee Longway,1,undirected
The Game,Skrillex,1,undirected
Future,Travis Scott,1,undirected
Eshon Burgundy,Abiv,1,undirected
Detail,TWENTY88,1,undirected
Bun B,Mistah F.A.B.,1,undirected
Scheme,Jay 305,1,undirected
Angie Rose,Sevin,1,undirected
J. Cole,Omen,1,undirected
Young Dolph,Philthy Rich,1,undirected
Berner,Juicy J,1,undirected
Ty Dolla $ign,Gizzle,1,undirected
The Lacs,Racket County,14,undirected
Danny Brown,Gucci Mane,1,undirected
Meek Mill,Tony Lanez,1,undirected
Dj Swamp,Madrox,1,undirected
Diamante,Flatbush Zombies,1,undirected
Nutso,Apathy,1,undirected
Mvrcus Blvck,Lil E,2,undirected
Grandmaster Melle Mel,Grandmaster Caz,1,undirected
Gunna,Gucci Mane,1,undirected
Sydney James Harcourt,Jasmine Cephas-Jones,1,undirected
Kirko Bangz,Webbie,1,undirected
Macklemore & Ryan Lewis,KRS-One,1,undirected
The Roots,Common,1,undirected
Original Broadway Cast of Hamilton,Daveed Diggs,8,undirected
Ab-Soul,Kendrick Lamar,1,undirected
Dreezy,Jeremih,1,undirected
Juicy J,A$AP Mob,1,undirected
Sage The Gemini,Noodles,1,undirected
Yowda,Zoey Dollaz,1,undirected
Ne-Yo,Nipsey Hussle,1,undirected
Sammy Adams,Kat Nestel,1,undirected
Watsky,Danny Skyhigh McClain,1,undirected
Jay Warren,Jamesthemormon,1,undirected
Charlie Rock,Jim Jones,1,undirected
E-40,Ezale,2,undirected
Madeintyo,A$AP Mob,1,undirected
Jadakiss,Pusha T,1,undirected
2 Chainz,Travis Scott,1,undirected
E-40,ScHoolboy Q,1,undirected
La Coka Nostra,Skam2?,1,undirected
Ab-Soul,The Game,2,undirected
Emanny,Joe Budden,1,undirected
Acyde,A$AP Rocky,1,undirected
CES Cru,Wrekonize,1,undirected
JL,Boogie Man,1,undirected
The Game,Micah,3,undirected
Boosie Badazz,Webbie,4,undirected
E-40,Keyshia Cole,1,undirected
Future,Ludacris,1,undirected
Young T,White Dave,1,undirected
Future,Diddy,2